depth_code_sub,mae,mape,rmse
A12,115253740615.19873,12408.44785680619,216195701223.64804
A01,324410391666.77435,23443.444092851278,611660481888.5298
A01,324410391666.77435,23443.444092851278,611660481888.5298
A04,188259347793.79785,11501.85742764556,386457293214.7822
C01,62624826959.323044,15428.018933834255,187838215194.76285
B01,677289088019.027,28945.528464844447,1483980512078.7346
A01,324410391666.77435,23443.444092851278,611660481888.5298
B14,100253684033.41508,15423.092300264374,211991223445.66342
B19,1449712436704.235,54041.919932273464,2458457834206.497
B08,44064128130.53909,7396.433041803656,144776234099.7568
B02,71311716772.45306,17717.764975124053,138714644548.6803
A14,155043651998.08673,28913.429811573395,278373714471.127
B13,160567332915.7921,21757.895340453186,382859739039.57416
A03,160312590774.41394,12245.728545508236,274887128675.40704
C07,249499734201.32343,31140.894185642217,488627695293.00385
A08,184865358601.54807,24054.445856187456,319829986120.19574
A02,400147226538.55365,45114.079743087685,534160157738.4391
A06,421569691477.74506,29838.839637083318,773589279103.0977
B10,184352314719.6114,19506.339982722813,429163598553.41925
B15,101257884910.13103,19729.47153187771,185431120045.32214
B05,34802261209.93691,5782.103266740083,62929496620.98648
C04,261290418061.39575,82804.64393514293,455353365790.74164
B06,264812881276.58505,21202.841467147904,507889279976.9763
A01,324410391666.77435,23443.444092851278,611660481888.5298
B03,32701169799.38871,10862.33727643496,61605615510.12796
B18,83107578876.2741,18724.730170615174,153609431731.09753
C05,3065541583170.274,44805.88256826756,5690276688158.741
B22,226510839729.7905,46149.309642800734,287464979750.7073
B21,84438884450.23059,33060.75801090362,152530506545.9896
A11,1262231695406.6396,90802.91319537653,1601884482100.931
A05,422788443894.274,61954.77527539238,711720309717.2479
B09,58278902849.94179,8553.318686976858,93301977696.64124
A15,639491939901.734,97470.26413188048,843409906788.6788
A07,310632000708.7804,35312.44745819627,402017427442.8722
A10,1206198867763.3384,111119.196708473,1533800783718.1338
C06,628948513404.5453,46091.71103062097,806973065561.2623
B12,322890622110.2786,112031.35612319218,591093269042.8354
B17,201748294472.15726,51400.99621693721,272410795528.76013
B16,1120719150598.9727,994362.8903375244,2269521782017.1875
A13,1070423238592.9164,60250.645980794354,1496499143523.4836
C02,362649134202.18976,280123.0274811235,468767827563.3838
A09,1667507134527.28,174634.21394277184,2367872580149.4883
B04,848535512030.1737,79064.1942819158,1165934749104.4995
B20,5251055.73245614,42.347223648839844,5251055.73245614
